ID	geomorphologie_beschreibung	Lithologie	geologie_text	BODENTYP_orig	KLASSE	TYP	SUBTYP	VARIETÄT	VARIETÄT2	humusform_orig	gebiet1_parentmaterial_numerogis
31	Grundmoraene	Grundmoraene		typic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				576
31_U	silikatisches Festgestein	Rhyolithe	in oberen dm vereinzelt auch gerundetes Skelett; unterschiedliche Mineralogie des Skelettes	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Typischer Moder	614
32	gemischte Ablagerung	gemischte Ablagerung		typic udorthent							2125
32_U	silikatisches Festgestein	Rhyolithe	Boden aus Anstehendem entwickelt oder aus den Lockersedimenten? --> Skelettverteilung; Unterschiedliche Mineralogie des Skelettes; Porphyr erscheint grauer - Grund für Farbe im Profil?	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mullartiger Moder	614
33	gemischte Kegel	gemischte Kegel		eutrochreptic rendoll	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
33_U	silikatisches Festgestein	Rhyolithe	steine und Blöcke	Brauner Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Typischer Ranker	braun		Mullartiger Moder	614
34	Moraene undifferenziert	Moraene undifferenziert		typic hapludalf	BRAUNERDEN	Braunerde	Typische Braunerde	lessiviert, rigolt, carbonatfrei			191
34_U	Moorablagerung	Moorablagerung	Feinsediment, fluviatile Sande und Kiese, Porphyrzersatz	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	382
35	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		typic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt?			643
35_U	Grundmoraene	Grundmoraene	Porphyr verwittert in Sand? - auch hier erste Anzeichen dafür; überwiegend gerundetes Skelett; gemischte Mineralogie (u.a. grünlich schiefriges wie bei U_ME_L28	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mullartiger Moder	576
36	gemischte Kegel	gemischte Kegel		rendollic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
36_U	Grundmoraene	Grundmoraene	insgesamt eher kantengerundetes Skelett	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	576
37	Grundmoraene	Grundmoraene		typic hapludalf	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
37_U	Grundmoraene	Grundmoraene	in etwa 50 cm viel Gestein mit Glimmer	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	576
38	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			643
38_U	Grundmoraene	Grundmoraene	fast durchweg gerundetes Skelett	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Typischer Mull	576
39	Alluviale Ablagerung	Alluviale Ablagerung		typic udorthent	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				640
39_U	silikatisches Festgestein	Rhyolithe	Moräne auf Porphyr, Ab etwa 50cm wieder gerundetes Skelett	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	614
3_U	Alluviale Ablagerung	Alluviale Ablagerung	laut Karte:         Aufschluss: Moräne auf fluviatilen Schottern auf fluviatilen Sanden	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Xeromorpher 	640
4	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
40	gemischte Kegel	gemischte Kegel		rendollic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
40_U	silikatisches Festgestein	Rhyolithe		Typische Braunerde, carbonatfrei, kolluvial geprägt	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei	kolluvial beeinflußt	Mullartiger Moder	614
41	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
41_U	silikatisches Festgestein	Rhyolithe	Moräne auf Porphyr 	Semi-Podsol	PODSOLE	Semipodsol	Semipodsol			Mullartiger Moder	614
42	gemischte Kegel	gemischte Kegel		typic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
4249	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				193
4250	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				614
4251	Grundmoraene	Grundmoraene		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				576
4252	Moraene undifferenziert	Moraene undifferenziert		550 (braunlehm)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				191
4253	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				614
4271	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				192
4272	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				614
42_U	Grundmoraene	Grundmoraene		Podsolige Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	576
43	gemischte Kegel	gemischte Kegel		typic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
43_T	silikatisches Festgestein	Rhyolithe	Hangschutt -> Sedimentgestein, sehr heterogene Petrographie: 40 % Dolomit, 10 Grödener Sandtsein (Kann das sein?), 40 % Mergel/Schluffstein, 10 % Kalk; Werfener Schichten	Carbonathaltige Braunerde, kolluvial beeinflusst	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	kolluvial beeinflußt		Mullartiger Moder	574
44	Alluviale Ablagerung	Alluviale Ablagerung		typic udorthent	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				640
44_T	gemischte Kegel	gemischte Kegel	60% Dolomit, 40% Porphyr	Carbonathaltige Braunerde	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde			Mullartiger Moder	604
45	Kolluvium	Kolluvium		typic hapludalf	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			200
45_T	Blockschutt	Blockschutt	Schutt aus Dolomit	Rendzina, kolluvial beeinflusst	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Mull-Rendzina	kolluvial beeinflußt		Mull	362
46	Kolluvium	Kolluvium		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				200
46_T	silikatisches Festgestein	Rhyolithe	Hangschutt	Typische Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mull	573
47	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
47_T	gemischte Kegel	gemischte Kegel	gemischt	Carbonathaltiger Rigolboden	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden			Mull	604
48	Alluviale Ablagerung	Alluviale Ablagerung		typic udorthent	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei, rigolt			1890
48_T	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine	Kalkstein dominierend, Kalk, Werfener Formation;in H2 + H4 zum Teil kleines gerundetes Skelett	Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Mullartiger Moder	364
49	Grundmoraene	Grundmoraene		typic udorthent	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				576
49_T	Hangschutt	Hangschutt	Kalkstein dominierend, Dolomit, Sandstein? (eher nicht) (gut angewittert), Werfener Formation (rot)	Kalklehm-Rendzina, kolluvial beeinflusst 	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina	kolluvial beeinflußt		Rohhumusartiger Moder	193
4_U	gemischte Kegel	gemischte Kegel	laut karte:         Aufschluss: kantiger Kalkgesteinsschutt	Carbonathaltiger Rigolboden	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden			Mull	371
5	Kolluvium	Kolluvium		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				200
50	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
50_T	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine	oben Grödener Sandstein (eher Werferner Schicht), ab  I Cv Porphyr, Gneis, Kalk	Carbonatfreier Kolluvisol; Entwicklung zur Braunerde	UMGELAGERTE BÖDEN	Kolluvisol	Carbonatfreier Kolluvisol			Rhizomull	364
51	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
51_T	Moraene undifferenziert	Moraene undifferenziert	Sandstein? (ganz klein, immer rot), Gneis?, unten gelbe und rote (Tone) aus Werfener Formation	Carbonatfreier Kolluvisol; Entwicklung zur Braunerde	UMGELAGERTE BÖDEN	Kolluvisol	Carbonatfreier Kolluvisol			Moder	191
52	gemischte Kegel	gemischte Kegel		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				604
52_T	Hangschutt	Hangschutt	Schutthalde, Dolomit dominierend, Kalkstein	Moder-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Rohhumusartiger Moder	193
53	Kolluvium	Kolluvium		dystric eutrochrept	BRAUNERDEN	Braunerde	Typische Braunerde	Carbonatfrei, ?rigolt			200
53_T	Blockschutt	Blockschutt	Kalkstein dominierend, Gneis?, Dolomit	Moder-Rendzina, verbraunt	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina	verbraunt		Rohumusratiger Moder	362
54	gemischte Kegel	gemischte Kegel		fluventic hapludoll	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
54_T	Moraene undifferenziert	Moraene undifferenziert	alles --Y Rohr in 50 cm Tiefe, anthropogene veränderung	Braunerde	BRAUNERDEN	Braunerde	Typische Braunerde				191
55	gemischte Kegel	gemischte Kegel		typic udorthent	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				604
55_T	Moraene undifferenziert	Moraene undifferenziert	Dolomit (ab Block, aber v.a. unten), Kalkstein (v.a. unten), Porphyr (weiter unten), Gneis (stark verwittert, ganz unten), gelbe Tonsteine (viel verschiedenes Kristalines)	Carbonatfreier Kolluvisol; Entwicklung zur Braunerde	UMGELAGERTE BÖDEN	Kolluvisol	Carbonatfreier Kolluvisol			Rhizomoder	191
56_T	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine	Porphyr, Kalkstein, Gneis, Werfener Formation (gelb, rot), Quarz	Carbonatfreier Kolluvisol; Entwicklung zur Braunerde	UMGELAGERTE BÖDEN	Kolluvisol	Carbonatfreier Kolluvisol				364
57	gemischte Ablagerung	gemischte Ablagerung		entic hapludoll	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				642
57_T	Blockschutt	Blockschutt	Porphyr	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mullartiger Moder	362
58	Moraene undifferenziert	Moraene undifferenziert		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			191
58_T	silikatisches Festgestein	Rhyolithe	Skelett in Auflage (Steine, Grobgrus)	Brauner? Typischer Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Typischer Ranker	braun		Moder/ Rohumusartiger Moder?	573
59	Moraene undifferenziert	Moraene undifferenziert		rendollic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				191
59_T	Hangschutt	Hangschutt									193
5_U	Grundmoraene	Grundmoraene		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mull	576
6	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
6_U	Rutschmasse	Rutschmasse		Carbonatfreier Fels-Auflagehumusboden und Brauner Typischer Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Carbonatfreier Fels-Auflagehumusboden			Rohhumus und Moder	811
7	gemischte Kegel	gemischte Kegel		rendollic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			604
7_U	Grundmoraene	Grundmoraene		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mull	576
8	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				371
8_U	Alluviale Ablagerung	Alluviale Ablagerung		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mull	640
9	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden	wirklichrigolt?			371
9_U	Moraene undifferenziert	Moraene undifferenziert		Typischer Ranker, kolluvial beeinflusst	TERRESTRISCHE HUMUSBÖDEN	Ranker	Typischer Ranker	kolluvial beeinflußt		Typischer Mull	191
12853	Moraene undifferenziert	Moraene undifferenziert		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde			Typischer Moder	191
12854	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				193
12857	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				193
12866	Blockschutt	Blockschutt		Kalkbraunlehm (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				362
12867	karbonatisches Festgestein	Dolomite		Braunerde tonig (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				575
12868	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Mull-Kalklehm-Rendzina				193
12882	Hangschutt	Hangschutt		Kalkbraunlehm (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				193
12883	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				193
12884	karbonatisches Festgestein	Dolomite		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina				575
12885	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Rohhumus	548
12886	Moraene undifferenziert	Moraene undifferenziert		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Rohhumus	191
12887	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Rohhumus	193
12888	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde			Typischer Moder	3492
12889	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Typischer Rohhumus	193
12890	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Rohhumusartiger Moder	193
12891	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Typischer Rohhumus	680
12910	karbonatisches Festgestein	Kalke		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Typischer Moder	372
12911	gemischte Ablagerung	gemischte Ablagerung		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Rohhumusartiger Moder	3491
12912	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde tonig (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig			Typischer Moder	378
12913	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Typischer Moder	3492
12914	gemischte Ablagerung	gemischte Ablagerung		Kalkbraunlehm (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm			Moderartiger (F-)Mull	3491
12915	karbonatisches Festgestein	Kalke		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Typischer Moder	372
12957	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde			Typischer Moder	191
12958	gemischte Kegel	gemischte Kegel		Braunerde tonig (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig			Typischer Mull	371
12959	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina			Mullartiger Moder	193
12960	Alluviale Ablagerung	Alluviale Ablagerung		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde			Typischer Mull	640
12961	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde			Typischer Mull	191
12962	Hangschutt	Hangschutt		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde			Typischer Moder	5493
12963	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde			Mullartiger Moder	576
12983	Blockschutt	Blockschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Tangel-(Kalk-)Rohhumus	362
12985	gemischte Kegel	gemischte Kegel		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Mull-Rendzina			Moderartiger (F-)Mull	371
12986	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde			Moderartiger (F-)Mull	643
12987	Alluviale Ablagerung	Alluviale Ablagerung		(Para)braunerde basenreich leicht	BRAUNERDEN	Braunerde	Typische Braunerde			Moderartiger (F-)Mull	640
12988	Grundmoraene	Grundmoraene		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde			Typischer Mull	576
