"gebiet1_parentmaterial_numerogis";"ID";"geomorphologie_beschreibung";"Lithologie";"geologie_text";"BODENTYP_orig";"KLASSE";"TYP";"SUBTYP";"VARIETÄT";"VARIETÄT2";"humusform_orig";"grossgruppe";"Beschreibung"
191;"59";"Moraene undifferenziert";"Moraene undifferenziert";"";"rendollic eutrochrept";"";"";"";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"15403";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"lf05";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina-Pelosol";"SUBSTRATBÖDEN";"Textur-Substratboden";"Textur-Substratboden";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"lf04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Parabraunerde";"BRAUNERDEN";"Parabraunerde";"Parabraunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"27_U";"Moraene undifferenziert";"Moraene undifferenziert";"";"Moder-Pararendzina";"TERRESTRISCHE HUMUSBÖDEN";"Pararendzina";"Moder-Pararendzina";"";"";"Moder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hj04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde podsolig";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"lf06";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina verbraunt";"TERRESTRISCHE HUMUSBÖDEN";"Pararendzina";"Pararendzina";"verbraunt";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"16";"Moraene undifferenziert";"Moraene undifferenziert";"";"typic eutrochrept";"";"";"";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"12886";"Moraene undifferenziert";"Moraene undifferenziert";"";"Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Rendzina";"Moder-Rendzina";"";"";"Rohhumus";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"14177";"Moraene undifferenziert";"Moraene undifferenziert";"";"Kalklehm-Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Kalklehm-Rendzina";"Kalklehm-Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"v07";"Moraene undifferenziert";"Moraene undifferenziert";"";"Parabraunerde";"BRAUNERDEN";"Parabraunerde";"Parabraunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"bd20";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"12853";"Moraene undifferenziert";"Moraene undifferenziert";"";"Parabraunerde";"BRAUNERDEN";"Parabraunerde";"Parabraunerde";"";"";"Typischer Moder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"qa13";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenarm podsoliert";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"basenarm";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hi04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina-Pelosol";"SUBSTRATBÖDEN";"Textur-Substratboden";"Textur-Substratboden";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"gr08";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenreich";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hj03";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde-Ranker";"TERRESTRISCHE HUMUSBÖDEN";"Ranker";"Ranker";"brauner";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hd17";"Moraene undifferenziert";"Moraene undifferenziert";"";"Kalklehm-Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Kalklehm-Rendzina";"Kalklehm-Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"v13";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenarm podsoliert";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"basenarm";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"bd17";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"w07";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde (basenarm)";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"basenarm";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x02";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"l05";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde (basenarm)";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"basenarm";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"l10";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf Lockersediment leicht";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"auf Lockersediment";"leicht";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x05";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"l09";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf Lockersediment leicht";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"auf Lockersediment";"leicht";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"9_U";"Moraene undifferenziert";"Moraene undifferenziert";"";"Typischer Ranker, kolluvial beeinflusst";"TERRESTRISCHE HUMUSBÖDEN";"Ranker";"Typischer Ranker";"kolluvial beeinflußt";"";"Typischer Mull";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"j07";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenreich";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"basenreich";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"v10";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"4252";"Moraene undifferenziert";"Moraene undifferenziert";"";"550 (braunlehm)";"KALKLEHME";"Kalkbraunlehm";"Kalkbraunlehm";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"v12";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf bindig-tonigem Material (Pelosol)";"BRAUNERDEN";"Braunerde";"Braunerde – tonig";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"34";"Moraene undifferenziert";"Moraene undifferenziert";"";"typic hapludalf";"";"";"";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hg09";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"carbonathaltig";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"14_U";"Moraene undifferenziert";"Moraene undifferenziert";"";"Typische Braunerde, carbonatfrei, kolluvial gestört?";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"carbonatfrei";"kolluvial beeinflußt";"Rhizomull";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"2_U";"Moraene undifferenziert";"Moraene undifferenziert";"laut Karte: undifferenzierte Moräne, selbst kartiert: Moränenmaterial";"Typische Braunerde, carbonatfrei ";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"carbonatfrei";"";"Moder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"qa12";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf Lockersediment leicht";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"auf Lockersediment";"leicht";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hh04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Kalklehme (rezent)";"KALKLEHME";"Kalklehme – rezent";"Kalklehme – rezent";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"be03";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenreich";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hg02";"Moraene undifferenziert";"Moraene undifferenziert";"";"Kalklehm-Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Kalklehm-Rendzina";"Kalklehm-Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"15405";"Moraene undifferenziert";"Moraene undifferenziert";"";"Kalklehm-Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Kalklehm-Rendzina";"Kalklehm-Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"w02";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenarm podsoliert";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"basenarm";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"55_T";"Moraene undifferenziert";"Moraene undifferenziert";"Dolomit (ab Block, aber v.a. unten), Kalkstein (v.a. unten), Porphyr (weiter unten), Gneis (stark verwittert, ganz unten), gelbe Tonsteine (viel verschiedenes Kristalines)";"Carbonatfreier Kolluvisol; Entwicklung zur Braunerde";"UMGELAGERTE BÖDEN";"Kolluvisol";"Carbonatfreier Kolluvisol";"";"";"Rhizomoder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x08";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina verbraunt";"TERRESTRISCHE HUMUSBÖDEN";"Pararendzina";"Pararendzina";"verbraunt";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"gr04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde (basenarm)";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"12961";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenarm podsoliert";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"";"";"Typischer Mull";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x07";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf bindig-tonigem Material (Pelosol)";"BRAUNERDEN";"Braunerde";"Braunerde – tonig";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x03";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"lf01";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina verbraunt";"TERRESTRISCHE HUMUSBÖDEN";"Pararendzina";"Pararendzina";"verbraunt";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hf05";"Moraene undifferenziert";"Moraene undifferenziert";"";"Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Rendzina";"Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"bd19";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hf04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina verbraunt";"TERRESTRISCHE HUMUSBÖDEN";"Pararendzina";"Pararendzina";"verbraunt";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x04";"Moraene undifferenziert";"Moraene undifferenziert";"";"Pararendsina-Pelosol";"SUBSTRATBÖDEN";"Textur-Substratboden";"Textur-Substratboden";"Pararendzina";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"be02";"Moraene undifferenziert";"Moraene undifferenziert";"";"Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Rendzina";"Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"16201";"Moraene undifferenziert";"Moraene undifferenziert";"";"Parabraunerde";"BRAUNERDEN";"Parabraunerde";"Parabraunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
192;"hj02";"silikatisches Festgestein";"Rhyolithe";"";"Grobmaterial-Rohboden carbonathaltig";"TERRESTRISCHE ROHBÖDEN";"Grobmaterial-Rohboden";"Carbonathaltiger Grobmaterial-Rohboden";"";"";"";3;"Etschtaler Vulkanit-Gruppe: GARGAZON-FORMATION (UNTERPERM. P.P.) - Schwarze oder grau-gr�nliche, rhyodazitische Lapilli-Tuffe, verschwei�t, sehr homogen und fest. Das Gestein wird meist von subvertikalen Kl�ften in regelm��ige Platten (1-30 cm) zerlegt."
192;"4271";"silikatisches Festgestein";"Rhyolithe";"";"Braunerde (basenarm)";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"";"";"";3;"Etschtaler Vulkanit-Gruppe: GARGAZON-FORMATION (UNTERPERM. P.P.) - Schwarze oder grau-gr�nliche, rhyodazitische Lapilli-Tuffe, verschwei�t, sehr homogen und fest. Das Gestein wird meist von subvertikalen Kl�ften in regelm��ige Platten (1-30 cm) zerlegt."
